Participant,Country,Result,Notes,Location,Event_Year
Harry Hillman,USA,49.2,Olympic record,St Louis,1904
Frank Waller,USA,49.9,,St Louis,1904
Herman Groman,USA,50.0,,St Louis,1904
Joseph Fleming,USA,,,St Louis,1904
Meyer Prinstein,USA,,,St Louis,1904
George Poage,USA,,,St Louis,1904
Clyde Amel Blair,USA,,Qualified,St Louis,1904
George Underwood,USA,,Qualified,St Louis,1904
Howard Valentine,USA,,Qualified,St Louis,1904
Johannes Runge,GER,,Qualified,St Louis,1904
Paul Pilgrim,USA,,Qualified,St Louis,1904
Percival Molson,CAN,,,St Louis,1904
